sample_num,left_count,right_count
Logging stopped. Total samples: 3000, Time: 30000 ms
0,9280,43301
1,9235,43341
2,9190,43381
3,9146,43421
4,9101,43461
5,9056,43501
6,9012,43541
7,8967,43581
8,8922,43621
9,8878,43661
10,8833,43701
11,8788,43741
12,8744,43781
13,8699,43821
14,8654,43861
15,8610,43901
16,8565,43941
17,8520,43981
18,8475,44021
19,8431,44061
20,8386,44101
21,8341,44141
22,8297,44181
23,8252,44221
24,8207,44261
25,8163,44300
26,8118,44340
27,8073,44380
28,8029,44420
29,7984,44460
30,7940,44500
31,7895,44540
32,7850,44580
33,7805,44620
34,7761,44660
35,7716,44700
36,7671,44740
37,7627,44779
38,7582,44819
39,7537,44859
40,7493,44899
41,7448,44939
42,7404,44979
43,7359,45019
44,7314,45059
45,7270,45099
46,7225,45139
47,7180,45179
48,7136,45219
49,7091,45259
50,7046,45299
51,7002,45339
52,6957,45379
53,6912,45419
54,6868,45459
55,6823,45498
56,6778,45538
57,6734,45578
58,6689,45618
59,6644,45658
60,6600,45698
61,6555,45738
62,6510,45778
63,6465,45818
64,6421,45858
65,6376,45898
66,6332,45938
67,6287,45978
68,6242,46018
69,6198,46058
70,6153,46097
71,6108,46137
72,6064,46177
73,6019,46217
74,5974,46257
75,5929,46297
76,5885,46337
77,5840,46377
78,5795,46417
79,5751,46457
80,5706,46497
81,5661,46537
82,5617,46577
83,5572,46617
84,5528,46657
85,5483,46697
86,5438,46737
87,5393,46777
88,5348,46817
89,5304,46857
90,5259,46897
91,5214,46937
92,5170,46977
93,5125,47016
94,5080,47056
95,5036,47096
96,4991,47136
97,4946,47176
98,4902,47216
99,4857,47256
100,4812,47296
101,4768,47336
102,4723,47376
103,4678,47416
104,4634,47456
105,4589,47496
106,4545,47536
107,4500,47576
108,4455,47616
109,4411,47656
110,4366,47696
111,4322,47736
112,4277,47775
113,4232,47815
114,4188,47855
115,4143,47895
116,4098,47935
117,4054,47975
118,4009,48015
119,3964,48055
120,3920,48095
121,3875,48135
122,3830,48175
123,3786,48215
124,3741,48255
125,3696,48295
126,3652,48335
127,3607,48375
128,3562,48415
129,3518,48455
130,3473,48495
131,3428,48535
132,3384,48575
133,3339,48615
134,3294,48655
135,3250,48695
136,3205,48735
137,3160,48775
138,3116,48815
139,3071,48855
140,3026,48895
141,2982,48935
142,2937,48975
143,2892,49015
144,2848,49055
145,2803,49095
146,2759,49135
147,2714,49175
148,2669,49215
149,2625,49254
150,2580,49294
151,2536,49334
152,2491,49374
153,2446,49414
154,2402,49454
155,2357,49494
156,2312,49534
157,2268,49574
158,2223,49614
159,2178,49654
160,2134,49694
161,2089,49734
162,2044,49774
163,2000,49814
164,1955,49854
165,1910,49894
166,1866,49933
167,1821,49973
168,1776,50013
169,1732,50053
170,1687,50093
171,1642,50133
172,1598,50173
173,1553,50213
174,1508,50253
175,1464,50293
176,1419,50333
177,1374,50373
178,1330,50413
179,1285,50453
180,1241,50492
181,1196,50532
182,1152,50572
183,1107,50612
184,1062,50652
185,1018,50692
186,973,50732
187,928,50772
188,884,50812
189,839,50852
190,794,50892
191,750,50932
192,705,50971
193,660,51011
194,616,51051
195,571,51091
196,526,51131
197,482,51171
198,437,51211
199,392,51251
200,348,51291
201,303,51331
202,258,51371
203,214,51411
204,169,51451
205,124,51491
206,80,51531
207,35,51571
208,65526,51610
209,65482,51650
210,65437,51690
211,65392,51730
212,65348,51770
213,65303,51810
214,65259,51850
215,65214,51890
216,65170,51930
217,65125,51970
218,65080,52010
219,65036,52050
220,64991,52089
221,64946,52129
222,64902,52169
223,64857,52209
224,64812,52249
225,64768,52289
226,64723,52329
227,64678,52369
228,64634,52409
229,64589,52449
230,64544,52489
231,64500,52529
232,64456,52569
233,64411,52609
234,64366,52648
235,64322,52688
236,64277,52728
237,64232,52768
238,64188,52808
239,64143,52848
240,64098,52888
241,64054,52928
242,64009,52968
243,63964,53008
244,63920,53048
245,63875,53088
246,63830,53128
247,63786,53168
248,63741,53208
249,63696,53248
250,63652,53288
251,63607,53328
252,63562,53368
253,63518,53408
254,63473,53448
255,63428,53488
256,63384,53528
257,63339,53568
258,63294,53608
259,63250,53648
260,63205,53688
261,63161,53728
262,63116,53768
263,63071,53808
264,63027,53848
265,62982,53888
266,62938,53928
267,62893,53968
268,62848,54008
269,62804,54048
270,62759,54088
271,62714,54128
272,62670,54168
273,62625,54208
274,62580,54248
275,62536,54288
276,62492,54328
277,62447,54368
278,62402,54408
279,62358,54448
280,62313,54488
281,62268,54528
282,62224,54568
283,62179,54608
284,62134,54648
285,62090,54688
286,62045,54728
287,62000,54768
288,61956,54808
289,61911,54848
290,61866,54888
291,61822,54928
292,61777,54968
293,61732,55008
294,61688,55048
295,61643,55088
296,61599,55128
297,61554,55168
298,61510,55208
299,61465,55248
300,61420,55288
301,61376,55328
302,61331,55368
303,61286,55408
304,61242,55448
305,61197,55488
306,61152,55528
307,61108,55568
308,61063,55608
309,61018,55648
310,60974,55688
311,60929,55728
312,60884,55768
313,60840,55808
314,60795,55848
315,60750,55888
316,60706,55928
317,60661,55968
318,60616,56008
319,60572,56048
320,60527,56088
321,60483,56128
322,60438,56168
323,60394,56208
324,60349,56248
325,60304,56288
326,60260,56328
327,60215,56368
328,60170,56408
329,60126,56448
330,60081,56487
331,60037,56527
332,59992,56567
333,59948,56607
334,59903,56647
335,59858,56687
336,59814,56727
337,59769,56767
338,59724,56807
339,59680,56847
340,59635,56887
341,59591,56927
342,59546,56967
343,59502,57007
344,59457,57047
345,59412,57087
346,59368,57127
347,59323,57167
348,59278,57206
349,59234,57246
350,59189,57286
351,59144,57326
352,59100,57366
353,59055,57406
354,59010,57446
355,58966,57486
356,58921,57526
357,58877,57566
358,58832,57606
359,58788,57646
360,58743,57686
361,58698,57726
362,58654,57766
363,58609,57806
364,58564,57846
365,58520,57885
366,58475,57925
367,58430,57965
368,58386,58005
369,58341,58045
370,58296,58085
371,58252,58125
372,58208,58165
373,58163,58205
374,58118,58245
375,58074,58285
376,58029,58325
377,57984,58365
378,57940,58405
379,57895,58445
380,57851,58485
381,57806,58525
382,57761,58565
383,57717,58605
384,57672,58645
385,57628,58685
386,57583,58725
387,57538,58765
388,57494,58805
389,57449,58845
390,57404,58885
391,57360,58925
392,57315,58965
393,57271,59005
394,57226,59045
395,57182,59085
396,57137,59125
397,57092,59165
398,57048,59205
399,57003,59245
400,56958,59285
401,56914,59325
402,56869,59365
403,56824,59405
404,56780,59445
405,56735,59485
406,56690,59525
407,56646,59565
408,56601,59605
409,56556,59645
410,56512,59685
411,56467,59725
412,56422,59765
413,56378,59805
414,56333,59845
415,56288,59886
416,56244,59926
417,56199,59966
418,56154,60006
419,56110,60046
420,56065,60086
421,56020,60126
422,55976,60166
423,55931,60206
424,55886,60246
425,55842,60286
426,55797,60326
427,55752,60366
428,55708,60406
429,55663,60446
430,55618,60486
431,55574,60526
432,55529,60566
433,55484,60606
434,55440,60646
435,55395,60686
436,55350,60726
437,55306,60766
438,55261,60806
439,55216,60846
440,55172,60886
441,55127,60926
442,55082,60966
443,55038,61006
444,54993,61046
445,54948,61086
446,54904,61126
447,54859,61166
448,54814,61206
449,54770,61246
450,54725,61286
451,54680,61326
452,54636,61366
453,54591,61406
454,54546,61446
455,54502,61486
456,54457,61526
457,54412,61566
458,54368,61606
459,54323,61646
460,54278,61686
461,54234,61726
462,54189,61766
463,54144,61806
464,54100,61846
465,54055,61886
466,54010,61926
467,53966,61966
468,53921,62006
469,53876,62046
470,53832,62086
471,53787,62126
472,53742,62166
473,53698,62206
474,53653,62246
475,53608,62286
476,53564,62326
477,53519,62366
478,53474,62406
479,53430,62446
480,53385,62486
481,53340,62526
482,53295,62566
483,53250,62606
484,53206,62646
485,53161,62686
486,53116,62726
487,53072,62766
488,53027,62806
489,52982,62846
490,52938,62886
491,52893,62926
492,52848,62966
493,52804,63006
494,52759,63046
495,52714,63086
496,52670,63126
497,52625,63166
498,52580,63206
499,52536,63246
500,52491,63286
501,52446,63326
502,52402,63366
503,52357,63406
504,52312,63446
505,52268,63486
506,52223,63526
507,52178,63566
508,52133,63606
509,52089,63646
510,52044,63686
511,51999,63726
512,51954,63766
513,51910,63806
514,51865,63846
515,51820,63886
516,51776,63926
517,51731,63966
518,51686,64006
519,51642,64046
520,51597,64086
521,51552,64126
522,51508,64166
523,51463,64206
524,51418,64246
525,51374,64286
526,51329,64326
527,51284,64366
528,51240,64406
529,51195,64446
530,51150,64486
531,51106,64526
532,51061,64566
533,51016,64606
534,50972,64646
535,50927,64686
536,50882,64726
537,50838,64766
538,50793,64806
539,50748,64846
540,50704,64886
541,50659,64926
542,50614,64966
543,50570,65006
544,50525,65046
545,50480,65086
546,50436,65126
547,50391,65166
548,50346,65206
549,50302,65246
550,50257,65286
551,50212,65326
552,50168,65366
553,50123,65406
554,50078,65446
555,50034,65486
556,49989,65526
557,49944,30
558,49900,70
559,49855,110
560,49810,150
561,49766,190
562,49721,230
563,49676,270
564,49631,310
565,49587,350
566,49542,390
567,49497,430
568,49453,470
569,49408,510
570,49364,550
571,49319,590
572,49274,630
573,49229,670
574,49184,710
575,49140,750
576,49095,790
577,49051,830
578,49006,870
579,48961,910
580,48917,950
581,48872,990
582,48828,1030
583,48783,1070
584,48738,1110
585,48694,1150
586,48649,1190
587,48604,1230
588,48559,1270
589,48514,1310
590,48470,1350
591,48425,1390
592,48380,1430
593,48336,1470
594,48291,1510
595,48247,1550
596,48202,1590
597,48157,1630
598,48113,1670
599,48068,1711
600,48024,1751
601,47979,1791
602,47934,1830
603,47890,1871
604,47845,1911
605,47800,1950
606,47756,1991
607,47711,2030
608,47666,2070
609,47622,2110
610,47577,2150
611,47532,2190
612,47488,2230
613,47443,2271
614,47398,2310
615,47354,2351
616,47309,2391
617,47264,2431
618,47220,2471
619,47176,2511
620,47131,2551
621,47086,2591
622,47042,2631
623,46997,2671
624,46952,2711
625,46907,2751
626,46862,2791
627,46818,2831
628,46773,2871
629,46729,2911
630,46684,2951
631,46640,2991
632,46595,3031
633,46550,3071
634,46506,3111
635,46461,3151
636,46416,3191
637,46372,3231
638,46327,3271
639,46282,3311
640,46238,3351
641,46193,3391
642,46148,3431
643,46104,3471
644,46059,3512
645,46014,3551
646,45970,3592
647,45925,3632
648,45880,3672
649,45836,3712
650,45791,3752
651,45746,3792
652,45702,3832
653,45657,3872
654,45612,3912
655,45568,3952
656,45523,3992
657,45479,4032
658,45434,4072
659,45389,4112
660,45345,4152
661,45300,4192
662,45256,4232
663,45211,4272
664,45166,4312
665,45121,4352
666,45077,4392
667,45032,4432
668,44988,4472
669,44943,4513
670,44898,4553
671,44854,4593
672,44809,4633
673,44764,4673
674,44720,4713
675,44675,4753
676,44630,4793
677,44586,4833
678,44541,4873
679,44496,4913
680,44451,4953
681,44407,4993
682,44362,5033
683,44318,5073
684,44273,5113
685,44228,5153
686,44184,5193
687,44139,5233
688,44094,5273
689,44050,5313
690,44005,5353
691,43960,5393
692,43916,5433
693,43871,5473
694,43826,5513
695,43782,5553
696,43737,5593
697,43692,5633
698,43648,5673
699,43603,5713
700,43558,5753
701,43514,5793
702,43469,5833
703,43424,5873
704,43380,5914
705,43335,5953
706,43290,5993
707,43246,6033
708,43201,6073
709,43156,6113
710,43112,6153
711,43067,6193
712,43022,6233
713,42978,6273
714,42933,6313
715,42888,6353
716,42844,6393
717,42799,6433
718,42754,6473
719,42710,6513
720,42665,6553
721,42620,6593
722,42576,6633
723,42531,6673
724,42486,6713
725,42442,6753
726,42397,6793
727,42352,6833
728,42308,6873
729,42263,6913
730,42218,6953
731,42174,6993
732,42129,7033
733,42084,7073
734,42040,7113
735,41995,7153
736,41950,7193
737,41906,7233
738,41861,7273
739,41816,7313
740,41772,7353
